"id","question_text","role","creator_type","user_id","created_at"
"4c1113c6-63be-442f-8237-d4f169df27db","코루틴에 대해 설명해주세요.","android","admin","",16/04/25 09:30:38.186415000
"246536d9-9774-4f44-b432-75c1ecf88955","Activity가 가로/세로로 전환되거나 메모리 부족 등으로 종료되었을 때 데이터를 유지하는 방법은?","android","admin","",16/04/25 09:30:38.186415000
"7770f07a-f11e-4a59-a55f-737f3c1609c6","라이브러리와 프레임워크의 차이에 대해 설명해주세요.","android","admin","",16/04/25 09:30:38.186415000
"f211dd2c-f2b2-4583-8cd5-d2e400ff1575","MVP Presenter와 MVVM ViewModel의 차이는 무엇인가요?","android","admin","",16/04/25 09:30:38.186415000
"de5973aa-4494-4633-af62-e92eeb8a70cf","MVC, MVP, MVVM, MVI 각각을 비교해주세요.","android","admin","",16/04/25 09:30:38.186415000
"dd2bfd4e-92a4-4106-806d-fe81350c56f0","Repository 패턴이란 무엇이고 장점은 무엇인가요?","android","admin","",16/04/25 09:30:38.186415000
"a1ab16de-a9d0-4a97-b3a9-2a43b58109a8","Intent에 대해 설명해주세요.","android","admin","",16/04/25 09:30:38.186415000
"9413efd1-77d8-4f4c-9f21-d4b30ebe3173","Intent를 통해 데이터 전달하는 과정에서 클래스 객체를 바로 전달할 수 있나요? 전달하기 위해서는 어떤 처리가 필요한가요?","android","admin","",16/04/25 09:30:38.186415000
"5a1bd396-cb23-421b-84e5-00068c9f9c2e","Activity 간 데이터 전달을 위해 Intent를 사용하는 이유가 무엇인가요?","android","admin","",16/04/25 09:30:38.186415000
"925c372c-e483-4600-b5ec-594b427203fc","xml에서 view가 그려지는 과정에 대해 설명해주세요.","android","admin","",16/04/25 09:30:38.186415000
"055a84c1-9ed8-4bf2-861b-93fe9db65537","List, Set, Map에 대해 설명해주세요.","android","admin","",16/04/25 09:30:38.186415000
"739a128b-08c6-40fb-beb5-8771e84ef387","HashMap과 HashSet은 어떨 때 사용하나요?","android","admin","",16/04/25 09:30:38.186415000
"34a731d1-ec37-4184-9db0-92f240be3c84","오버로딩과 오버라이딩에 대해 설명해주세요.","android","admin","",16/04/25 09:30:38.186415000
"2a610f8d-f002-4842-966e-b236f17c8c2a","ConstraintLayout은 왜 사용하나요?","android","admin","",16/04/25 09:30:38.186415000
"36b08cdb-d94a-4043-823f-5c5aa1a453da","WorkManager가 무엇인지 소개해주실 수 있나요?","android","admin","",16/04/25 09:30:38.186415000
"af456877-02fe-4b86-8202-1f5833cce15d","Thread, Looper, Handler에 대해 설명해주세요.","android","admin","",16/04/25 09:30:38.186415000
"b0f22734-f55d-446a-90ec-b9f2081c6b1e","메인 스레드만 UI를 접근 가능한 이유에 대해 설명해주세요.","android","admin","",16/04/25 09:30:38.186415000
"4420e6ef-df2e-4d22-a98c-9e6441918614","Message과 Runnable에 대해 설명해보세요.","android","admin","",16/04/25 09:30:38.186415000
"085e64a6-418d-43f4-a26d-7bd16931926d","브라우저 렌더링 과정을 설명해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"1861d64a-4e42-409a-ab41-7fc3fab11624","브라우저는 어떻게 동작 하나요?","fe","admin","",16/04/25 09:30:38.186415000
"0aeff839-2c38-4c11-850f-7c9adf6e2ba7","Webpack, Babel, Polyfill에 대해 설명해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"910a63e7-0be2-45e9-a0f5-ce57a55a0d07","ESLint와 Prettier에 대해 설명해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"f2e1d7ab-8ff5-414b-b5fd-8f041271147e","SPA와 MPA에 대해 설명해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"7d84b1ea-908a-4e24-ac06-cecc088b4073","CSR과 SSR의 차이는 무엇인가요?","fe","admin","",16/04/25 09:30:38.186415000
"07b05ec7-db8f-4311-b155-a3bda54b7692","CORS와 해결 경험을 말씀해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"81b17715-a50c-40ee-9b93-1d432ffadb6d","bundle의 사이즈를 줄이려면 어떻게 해야 하나요?","fe","admin","",16/04/25 09:30:38.186415000
"b74fbd4f-d2b2-4ecd-a0af-e8de7bfbc25f","쿠키, 세션, 웹스토리지의 차이에 대해 설명해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"fe09eb7e-4465-485a-8203-0b22c7bfe8f1","브라우저에서 탭 이동 혹은 탭 종료 시에는 세션 스토리지에 어떤 영향을 끼치나요?","fe","admin","",16/04/25 09:30:38.186415000
"078fc230-693b-4c80-91b6-cead879d7c31","로그인 처리를 할 때 쿠키와 세션을 어떻게 사용하시나요?","fe","admin","",16/04/25 09:30:38.186415000
"5b3b4182-a2cf-4778-a9b2-cbe8531848e5","토큰 기반 인증 방식에 대해 설명해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"d40fecd3-6c1a-4ddd-8980-8b1b9aaf256c","JWT 토큰을 쿠키에 저장했을 때 취약점에 대해 설명해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"9f5df4e1-c479-42de-98be-d12ca8d1db9b","크로스 브라우징에 대해 설명해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"8495f2a7-ff9a-45ed-9212-611e8f4ea6c2","크로스 브라우징 이슈를 해결했던 경험을 말씀해주세요.","fe","admin","",16/04/25 09:30:38.186415000
"812acc70-5256-4d14-a421-e480e8942045","웹사이트 성능 최적화에는 어떤 방법이 있나요?","fe","admin","",16/04/25 09:30:38.186415000
"81841dab-3135-4bd3-9d5d-8e30f59fab1f","객체 지향 프로그래밍이란 무엇인가요?","fe","admin","",16/04/25 09:30:38.186415000
